Entity,Life expectancy,Health expenditure
Sao Tome and Principe,69.718,230881
Saudi Arabia,78.732,33264288
Senegal,68.683,18077573
Serbia,76.769,6773203
Serbia and Montenegro,,
Seychelles,72.862,127961
Sierra Leone,61.786,8460523
Singapore,83.736,5789091
Sint Maarten (Dutch part),76.371,42775
Slovakia,78.341,5518057
Slovenia,81.603,2118395
Solomon Islands,70.528,800013
Somalia,58.816,18358621
South Africa,66.139,63212386
South America,,433024230
South America (excl. Brazil),,224571280
South Georgia and the South Sandwich Islands,,
South Korea,84.329,51748744
South Sudan,57.617,11483373
Spain,83.67,47911583
Sri Lanka,77.483,22971616
Sudan,66.331,50042799
Suriname,73.631,628892
Svalbard and Jan Mayen,,2400
Sweden,83.262,10551493
Switzerland,83.954,8870564
Syria,72.12,23594622
Taiwan,80.559,23317145
Tajikistan,71.79,10389808
Tanzania,66.995,66617607
Thailand,76.412,71702438
Togo,62.739,9304344
Tokelau,77.051,2424
Tonga,72.895,104614
Trinidad and Tobago,73.49,1502936
Tunisia,76.508,12200434
Turkey,77.156,87270503
Turkmenistan,70.073,7364437
Turks and Caicos Islands,78.008,46219
Tuvalu,67.105,9837
USSR,,
Uganda,68.252,48656604
Ukraine,73.422,37732832
United Arab Emirates,82.909,10642089
United Kingdom,81.302,68682965
United States,79.304,343477332
United States Virgin Islands,75.472,85712
Upper-middle-income countries,75.881,2839926083
Uruguay,78.138,3388083
Uzbekistan,72.388,35652309
Vanuatu,71.477,320422
Vatican,82.985,501
Venezuela,72.514,28300860
Vietnam,74.588,100352189
Wallis and Futuna,78.629,11394
West Germany,,
Western Sahara,71.385,579735
World,73.169,8091734935
Yemen,69.295,39390800
Yemen Arab Republic,,
Yemen People's Republic,,
Yugoslavia,,
Zambia,66.349,20723968
Zimbabwe,62.775,16340829
